时间戳：2024年05月09日10:39:40 股票代码：600990           item         value
5   sell_3_vol  2.000000e+02
6       sell_2  2.331000e+01
7   sell_2_vol  4.800000e+03
8       sell_1  2.330000e+01
9   sell_1_vol  3.800000e+03
10       buy_1  2.329000e+01
11   buy_1_vol  1.800000e+03
12       buy_2  2.328000e+01
13   buy_2_vol  3.600000e+03
14       buy_3  2.327000e+01
15   buy_3_vol  3.400000e+03
16       buy_4  2.326000e+01
17   buy_4_vol  1.060000e+04
18       buy_5  2.325000e+01
19   buy_5_vol  2.200000e+03
20          最新  2.330000e+01
21          均价  2.325000e+01
22          涨幅  2.960000e+00
23          涨跌  6.700000e-01
24          总手  3.013900e+05
25          金额  7.006462e+08
26          换手  1.120000e+01
27          量比  5.410000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373840e+05
35          内盘  1.640060e+05

时间戳：2024年05月09日10:41:17 股票代码：600990           item         value
0       sell_5  2.336000e+01
1   sell_5_vol  5.400000e+03
2       sell_4  2.335000e+01
3   sell_4_vol  2.100000e+03
4       sell_3  2.334000e+01
5   sell_3_vol  2.000000e+02
6       sell_2  2.331000e+01
7   sell_2_vol  4.800000e+03
8       sell_1  2.330000e+01
9   sell_1_vol  3.200000e+03
10       buy_1  2.329000e+01
11   buy_1_vol  2.800000e+03
12       buy_2  2.328000e+01
13   buy_2_vol  3.900000e+03
14       buy_3  2.327000e+01
15   buy_3_vol  3.400000e+03
16       buy_4  2.326000e+01
17   buy_4_vol  1.060000e+04
18       buy_5  2.325000e+01
19   buy_5_vol  2.200000e+03
20          最新  2.330000e+01
21          均价  2.325000e+01
22          涨幅  2.960000e+00
23          涨跌  6.700000e-01
24          总手  3.013960e+05
25          金额  7.006602e+08
26          换手  1.120000e+01
27          量比  5.410000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373840e+05
35          内盘  1.640120e+05

时间戳：2024年05月09日10:41:22 股票代码：600990           item         value
0       sell_5  2.335000e+01
1   sell_5_vol  2.100000e+03
2       sell_4  2.334000e+01
3   sell_4_vol  2.000000e+02
4       sell_3  2.333000e+01
5   sell_3_vol  1.000000e+03
6       sell_2  2.331000e+01
7   sell_2_vol  5.800000e+03
8       sell_1  2.330000e+01
9   sell_1_vol  5.500000e+03
10       buy_1  2.329000e+01
11   buy_1_vol  1.500000e+03
12       buy_2  2.328000e+01
13   buy_2_vol  3.600000e+03
14       buy_3  2.327000e+01
15   buy_3_vol  3.600000e+03
16       buy_4  2.326000e+01
17   buy_4_vol  1.060000e+04
18       buy_5  2.325000e+01
19   buy_5_vol  2.500000e+03
20          最新  2.329000e+01
21          均价  2.325000e+01
22          涨幅  2.920000e+00
23          涨跌  6.600000e-01
24          总手  3.014090e+05
25          金额  7.006905e+08
26          换手  1.120000e+01
27          量比  5.410000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373970e+05
35          内盘  1.640120e+05

时间戳：2024年05月09日10:41:27 股票代码：600990           item         value
0       sell_5  2.335000e+01
1   sell_5_vol  2.100000e+03
2       sell_4  2.333000e+01
3   sell_4_vol  1.000000e+03
4       sell_3  2.331000e+01
5   sell_3_vol  5.800000e+03
6       sell_2  2.330000e+01
7   sell_2_vol  4.000000e+03
8       sell_1  2.329000e+01
9   sell_1_vol  3.000000e+02
10       buy_1  2.328000e+01
11   buy_1_vol  3.600000e+03
12       buy_2  2.327000e+01
13   buy_2_vol  4.000000e+03
14       buy_3  2.326000e+01
15   buy_3_vol  1.060000e+04
16       buy_4  2.325000e+01
17   buy_4_vol  2.600000e+03
18       buy_5  2.324000e+01
19   buy_5_vol  2.000000e+03
20          最新  2.329000e+01
21          均价  2.325000e+01
22          涨幅  2.920000e+00
23          涨跌  6.600000e-01
24          总手  3.014520e+05
25          金额  7.007906e+08
26          换手  1.121000e+01
27          量比  5.410000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373970e+05
35          内盘  1.640550e+05

时间戳：2024年05月09日10:41:32 股票代码：600990           item         value
0       sell_5  2.336000e+01
1   sell_5_vol  4.700000e+03
2       sell_4  2.335000e+01
3   sell_4_vol  2.100000e+03
4       sell_3  2.333000e+01
5   sell_3_vol  1.000000e+03
6       sell_2  2.331000e+01
7   sell_2_vol  5.800000e+03
8       sell_1  2.330000e+01
9   sell_1_vol  3.100000e+03
10       buy_1  2.329000e+01
11   buy_1_vol  2.800000e+03
12       buy_2  2.328000e+01
13   buy_2_vol  3.700000e+03
14       buy_3  2.327000e+01
15   buy_3_vol  4.000000e+03
16       buy_4  2.326000e+01
17   buy_4_vol  1.060000e+04
18       buy_5  2.325000e+01
19   buy_5_vol  2.600000e+03
20          最新  2.330000e+01
21          均价  2.325000e+01
22          涨幅  2.960000e+00
23          涨跌  6.700000e-01
24          总手  3.014700e+05
25          金额  7.008326e+08
26          换手  1.121000e+01
27          量比  5.410000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.374210e+05
35          内盘  1.640490e+05

时间戳：2024年05月09日10:41:37 股票代码：600990           item         value
0       sell_5  2.336000e+01
1   sell_5_vol  4.700000e+03
2       sell_4  2.335000e+01
3   sell_4_vol  2.500000e+03
4       sell_3  2.333000e+01
5   sell_3_vol  1.000000e+03
6       sell_2  2.331000e+01
7   sell_2_vol  5.800000e+03
8       sell_1  2.329000e+01
9   sell_1_vol  6.500000e+03
10       buy_1  2.328000e+01
11   buy_1_vol  2.700000e+03
12       buy_2  2.327000e+01
13   buy_2_vol  4.000000e+03
14       buy_3  2.326000e+01
15   buy_3_vol  1.060000e+04
16       buy_4  2.325000e+01
17   buy_4_vol  2.600000e+03
18       buy_5  2.324000e+01
19   buy_5_vol  2.000000e+03
20          最新  2.328000e+01
21          均价  2.325000e+01
22          涨幅  2.870000e+00
23          涨跌  6.500000e-01
24          总手  3.016290e+05
25          金额  7.012030e+08
26          换手  1.121000e+01
27          量比  5.420000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.374300e+05
35          内盘  1.641990e+05

